Year,Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2018,Los Angeles Clippers,0.47100000000000003,0.354,0.525,0.743,832,2766,1832,627,373,1204,1638,8937
2018,Charlotte Hornets,0.45,0.369,0.48700000000000004,0.747,826,2901,1770,559,373,1041,1410,8874
2018,Los Angeles Lakers,0.461,0.345,0.517,0.7140000000000001,876,2926,1949,633,388,1295,1738,8862
2018,Oklahoma City Thunder,0.45299999999999996,0.354,0.505,0.715,1024,2671,1750,743,412,1147,1654,8844
2018,Washington Wizards,0.467,0.375,0.508,0.772,823,2713,2065,645,353,1196,1746,8742
2018,Brooklyn Nets,0.441,0.35600000000000004,0.5,0.772,792,2851,1942,512,390,1245,1688,8741
2018,Milwaukee Bucks,0.478,0.355,0.531,0.782,688,2579,1905,722,443,1134,1752,8731
2018,Portland Trail Blazers,0.452,0.366,0.493,0.8,835,2893,1599,573,423,1109,1599,8661
2018,Indiana Pacers,0.47200000000000003,0.369,0.513,0.779,788,2684,1819,721,340,1089,1543,8656
2018,New York Knicks,0.46299999999999997,0.35200000000000004,0.504,0.787,859,2752,1912,552,421,1207,1682,8566
2018,Utah Jazz,0.462,0.366,0.515,0.779,740,2807,1839,708,420,1205,1608,8540
2018,Boston Celtics,0.45,0.377,0.491,0.7709999999999999,767,2878,1842,604,374,1149,1618,8529
2018,Phoenix Suns,0.442,0.33399999999999996,0.4920000000000001,0.74,842,2776,1743,569,370,1289,1807,8522
2018,Detroit Pistons,0.45,0.373,0.488,0.745,830,2756,1868,628,317,1103,1508,8509
2018,Miami Heat,0.455,0.36,0.508,0.755,763,2801,1862,620,437,1179,1648,8480
2018,Orlando Magic,0.452,0.35100000000000003,0.504,0.757,722,2692,1921,622,400,1192,1580,8479
2018,Atlanta Hawks,0.446,0.36,0.495,0.785,742,2693,1946,638,348,1276,1606,8475
2018,Chicago Bulls,0.435,0.355,0.478,0.758,790,2873,1923,626,289,1147,1572,8440
2018,San Antonio Spurs,0.457,0.35200000000000004,0.499,0.772,849,2777,1868,628,460,1078,1409,8424
2018,Dallas Mavericks,0.444,0.36,0.496,0.763,666,2717,1858,578,310,1008,1578,8390
2018,Memphis Grizzlies,0.444,0.35200000000000004,0.486,0.7859999999999999,779,2544,1767,613,396,1227,1900,8145
2018,Sacramento Kings,0.45,0.375,0.479,0.735,777,2578,1769,643,340,1125,1639,8104
